menu_item_id,restaurant_id,restaurant_name,dish_name,menu_category,price_vnd,ingredients,dietary_tags,spicy_level,is_signature,availability_status,description
MENU0089,RES015,BBQ Street House,Cá nướng giấy bạc,Món chính,247728,"cá, sả, ớt",gluten-free,Cay vừa,Không,Còn món,"Cá nướng giấy bạc tại BBQ Street House với nguyên liệu cá, sả, ớt."
MENU0090,RES015,BBQ Street House,Trà đào cam sả,Đồ uống,61937,"trà, đào, cam","chay, gluten-free",Không cay,Không,Còn món,"Trà đào cam sả tại BBQ Street House với nguyên liệu trà, đào, cam."
MENU0091,RES015,BBQ Street House,Nước suối,Đồ uống,22268,nước,chay,Không cay,Không,Còn món,Nước suối tại BBQ Street House với nguyên liệu nước.
MENU0092,RES016,Bún Bò Cố Đô,Phở bò tái,Món chính,95757,"bò, bánh phở, nước dùng",gluten-free,Cay,Có,Còn món,"Phở bò tái tại Bún Bò Cố Đô với nguyên liệu bò, bánh phở, nước dùng."
MENU0093,RES016,Bún Bò Cố Đô,Bún chả,Món chính,101681,"thịt heo, bún, nước mắm",,Không cay,Có,Còn món,"Bún chả tại Bún Bò Cố Đô với nguyên liệu thịt heo, bún, nước mắm."
MENU0094,RES016,Bún Bò Cố Đô,Gỏi cuốn,Khai vị,61717,"tôm, rau, bánh tráng",,Không cay,Không,Còn món,"Gỏi cuốn tại Bún Bò Cố Đô với nguyên liệu tôm, rau, bánh tráng."
MENU0095,RES016,Bún Bò Cố Đô,Cơm tấm sườn,Món chính,105285,"sườn, cơm, trứng",,Cay,Không,Còn món,"Cơm tấm sườn tại Bún Bò Cố Đô với nguyên liệu sườn, cơm, trứng."
MENU0096,RES016,Bún Bò Cố Đô,Mì Quảng gà,Món chính,75578,"gà, mì quảng, đậu phộng",,Không cay,Không,Còn món,"Mì Quảng gà tại Bún Bò Cố Đô với nguyên liệu gà, mì quảng, đậu phộng."
MENU0097,RES016,Bún Bò Cố Đô,Trà đào cam sả,Đồ uống,51298,"trà, đào, cam",chay,Không cay,Không,Còn món,"Trà đào cam sả tại Bún Bò Cố Đô với nguyên liệu trà, đào, cam."
MENU0098,RES016,Bún Bò Cố Đô,Khoai tây chiên,Món phụ,68247,khoai tây,chay,Ít cay,Không,Còn món,Khoai tây chiên tại Bún Bò Cố Đô với nguyên liệu khoai tây.
MENU0099,RES017,Café Trứng 1980,Bibimbap,Món chính,172430,"cơm, rau, trứng",,Không cay,Không,Còn món,"Bibimbap tại Café Trứng 1980 với nguyên liệu cơm, rau, trứng."
MENU0100,RES017,Café Trứng 1980,Thịt nướng Hàn Quốc,Món chính,386155,"thịt bò, kimchi",,Không cay,Có,Còn món,"Thịt nướng Hàn Quốc tại Café Trứng 1980 với nguyên liệu thịt bò, kimchi."
MENU0101,RES017,Café Trứng 1980,Canh kimchi,Món chính,137099,"kimchi, đậu hũ",,Không cay,Không,Còn món,"Canh kimchi tại Café Trứng 1980 với nguyên liệu kimchi, đậu hũ."
MENU0102,RES017,Café Trứng 1980,Khoai tây chiên,Món phụ,71925,khoai tây,chay,Không cay,Không,Còn món,Khoai tây chiên tại Café Trứng 1980 với nguyên liệu khoai tây.
MENU0103,RES017,Café Trứng 1980,Trà đào cam sả,Đồ uống,64588,"trà, đào, cam",chay,Cay,Không,Còn món,"Trà đào cam sả tại Café Trứng 1980 với nguyên liệu trà, đào, cam."
MENU0104,RES018,Nhà Hàng Gia Đình Việt,Tôm nướng muối ớt,Món chính,257246,"tôm, ớt, muối",,Cay,Không,Còn món,"Tôm nướng muối ớt tại Nhà Hàng Gia Đình Việt với nguyên liệu tôm, ớt, muối."
MENU0105,RES018,Nhà Hàng Gia Đình Việt,Mực hấp gừng,Món chính,212479,"mực, gừng",gluten-free,Cay,Không,Còn món,"Mực hấp gừng tại Nhà Hàng Gia Đình Việt với nguyên liệu mực, gừng."
MENU0106,RES018,Nhà Hàng Gia Đình Việt,Lẩu hải sản,Món chính,327567,"tôm, mực, cá, rau",,Không cay,Có,Còn món,"Lẩu hải sản tại Nhà Hàng Gia Đình Việt với nguyên liệu tôm, mực, cá, rau."
MENU0107,RES018,Nhà Hàng Gia Đình Việt,Cá nướng giấy bạc,Món chính,258824,"cá, sả, ớt",,Cay,Có,Còn món,"Cá nướng giấy bạc tại Nhà Hàng Gia Đình Việt với nguyên liệu cá, sả, ớt."
MENU0108,RES018,Nhà Hàng Gia Đình Việt,Bánh flan,Tráng miệng,53363,"trứng, sữa",chay,Không cay,Không,Còn món,"Bánh flan tại Nhà Hàng Gia Đình Việt với nguyên liệu trứng, sữa."
MENU0109,RES018,Nhà Hàng Gia Đình Việt,Nước suối,Đồ uống,20617,nước,chay,Ít cay,Có,Tạm hết,Nước suối tại Nhà Hàng Gia Đình Việt với nguyên liệu nước.
MENU0110,RES019,Taco Fiesta,Cơm sen chay,Món chính,90075,"gạo, hạt sen, rau",chay,Không cay,Không,Còn món,"Cơm sen chay tại Taco Fiesta với nguyên liệu gạo, hạt sen, rau."
MENU0111,RES019,Taco Fiesta,Lẩu nấm chay,Món chính,252326,"nấm, rau, đậu hũ",chay,Không cay,Có,Còn món,"Lẩu nấm chay tại Taco Fiesta với nguyên liệu nấm, rau, đậu hũ."
MENU0112,RES019,Taco Fiesta,Gỏi cuốn chay,Khai vị,57139,"rau, đậu hũ, bánh tráng",chay,Không cay,Không,Còn món,"Gỏi cuốn chay tại Taco Fiesta với nguyên liệu rau, đậu hũ, bánh tráng."
MENU0113,RES019,Taco Fiesta,Bún Huế chay,Món chính,83569,"bún, nấm, đậu hũ","chay, gluten-free",Cay,Có,Còn món,"Bún Huế chay tại Taco Fiesta với nguyên liệu bún, nấm, đậu hũ."
MENU0114,RES019,Taco Fiesta,Khoai tây chiên,Món phụ,75245,khoai tây,chay,Không cay,Không,Còn món,Khoai tây chiên tại Taco Fiesta với nguyên liệu khoai tây.
MENU0115,RES019,Taco Fiesta,Trà đào cam sả,Đồ uống,55106,"trà, đào, cam","chay, gluten-free",Cay,Có,Còn món,"Trà đào cam sả tại Taco Fiesta với nguyên liệu trà, đào, cam."
MENU0116,RES020,Dimsum House,Bò bít tết,Món chính,518150,"bò, khoai tây",,Không cay,Không,Còn món,"Bò bít tết tại Dimsum House với nguyên liệu bò, khoai tây."
MENU0117,RES020,Dimsum House,Salad Caesar,Khai vị,168793,"xà lách, gà, phô mai",gluten-free,Cay vừa,Có,Còn món,"Salad Caesar tại Dimsum House với nguyên liệu xà lách, gà, phô mai."
MENU0118,RES020,Dimsum House,Súp bí đỏ,Khai vị,105838,"bí đỏ, kem",chay,Không cay,Không,Còn món,"Súp bí đỏ tại Dimsum House với nguyên liệu bí đỏ, kem."
MENU0119,RES020,Dimsum House,Khoai tây chiên,Món phụ,81012,khoai tây,chay,Cay vừa,Không,Còn món,Khoai tây chiên tại Dimsum House với nguyên liệu khoai tây.
MENU0120,RES020,Dimsum House,Trà đào cam sả,Đồ uống,64498,"trà, đào, cam",chay,Không cay,Không,Còn món,"Trà đào cam sả tại Dimsum House với nguyên liệu trà, đào, cam."
MENU0121,RES021,Mì Quảng Cô Ba,Phở bò tái,Món chính,99591,"bò, bánh phở, nước dùng",,Không cay,Không,Còn món,"Phở bò tái tại Mì Quảng Cô Ba với nguyên liệu bò, bánh phở, nước dùng."
MENU0122,RES021,Mì Quảng Cô Ba,Bún chả,Món chính,90941,"thịt heo, bún, nước mắm",,Cay,Có,Còn món,"Bún chả tại Mì Quảng Cô Ba với nguyên liệu thịt heo, bún, nước mắm."
MENU0123,RES021,Mì Quảng Cô Ba,Gỏi cuốn,Khai vị,62847,"tôm, rau, bánh tráng",,Không cay,Không,Còn món,"Gỏi cuốn tại Mì Quảng Cô Ba với nguyên liệu tôm, rau, bánh tráng."
MENU0124,RES021,Mì Quảng Cô Ba,Cơm tấm sườn,Món chính,89638,"sườn, cơm, trứng",,Không cay,Không,Còn món,"Cơm tấm sườn tại Mì Quảng Cô Ba với nguyên liệu sườn, cơm, trứng."
MENU0125,RES021,Mì Quảng Cô Ba,Mì Quảng gà,Món chính,82826,"gà, mì quảng, đậu phộng",,Cay,Không,Còn món,"Mì Quảng gà tại Mì Quảng Cô Ba với nguyên liệu gà, mì quảng, đậu phộng."
MENU0126,RES021,Mì Quảng Cô Ba,Trà đào cam sả,Đồ uống,54634,"trà, đào, cam","chay, gluten-free",Cay,Không,Còn món,"Trà đào cam sả tại Mì Quảng Cô Ba với nguyên liệu trà, đào, cam."
MENU0127,RES021,Mì Quảng Cô Ba,Khoai tây chiên,Món phụ,76364,khoai tây,chay,Cay vừa,Có,Còn món,Khoai tây chiên tại Mì Quảng Cô Ba với nguyên liệu khoai tây.
MENU0128,RES022,Curry Garden,Cơm sen chay,Món chính,108434,"gạo, hạt sen, rau",chay,Cay vừa,Không,Còn món,"Cơm sen chay tại Curry Garden với nguyên liệu gạo, hạt sen, rau."
MENU0129,RES022,Curry Garden,Lẩu nấm chay,Món chính,247239,"nấm, rau, đậu hũ",chay,Cay,Không,Còn món,"Lẩu nấm chay tại Curry Garden với nguyên liệu nấm, rau, đậu hũ."
MENU0130,RES022,Curry Garden,Gỏi cuốn chay,Khai vị,68267,"rau, đậu hũ, bánh tráng",chay,Cay,Có,Còn món,"Gỏi cuốn chay tại Curry Garden với nguyên liệu rau, đậu hũ, bánh tráng."
MENU0131,RES022,Curry Garden,Bún Huế chay,Món chính,99660,"bún, nấm, đậu hũ",chay,Không cay,Không,Còn món,"Bún Huế chay tại Curry Garden với nguyên liệu bún, nấm, đậu hũ."
MENU0132,RES022,Curry Garden,Bánh flan,Tráng miệng,55443,"trứng, sữa",chay,Không cay,Không,Còn món,"Bánh flan tại Curry Garden với nguyên liệu trứng, sữa."
MENU0133,RES022,Curry Garden,Trà đào cam sả,Đồ uống,57162,"trà, đào, cam",chay,Không cay,Có,Còn món,"Trà đào cam sả tại Curry Garden với nguyên liệu trà, đào, cam."
MENU0134,RES023,Steak & Wine Bistro,Cơm sen chay,Món chính,89415,"gạo, hạt sen, rau",chay,Không cay,Có,Còn món,"Cơm sen chay tại Steak & Wine Bistro với nguyên liệu gạo, hạt sen, rau."
MENU0135,RES023,Steak & Wine Bistro,Lẩu nấm chay,Món chính,251436,"nấm, rau, đậu hũ",chay,Ít cay,Không,Còn món,"Lẩu nấm chay tại Steak & Wine Bistro với nguyên liệu nấm, rau, đậu hũ."
MENU0136,RES023,Steak & Wine Bistro,Gỏi cuốn chay,Khai vị,72872,"rau, đậu hũ, bánh tráng",chay,Cay vừa,Không,Còn món,"Gỏi cuốn chay tại Steak & Wine Bistro với nguyên liệu rau, đậu hũ, bánh tráng."
MENU0137,RES023,Steak & Wine Bistro,Bún Huế chay,Món chính,92862,"bún, nấm, đậu hũ",chay,Ít cay,Không,Tạm hết,"Bún Huế chay tại Steak & Wine Bistro với nguyên liệu bún, nấm, đậu hũ."
MENU0138,RES023,Steak & Wine Bistro,Bánh flan,Tráng miệng,50543,"trứng, sữa",chay,Không cay,Không,Còn món,"Bánh flan tại Steak & Wine Bistro với nguyên liệu trứng, sữa."
MENU0139,RES023,Steak & Wine Bistro,Khoai tây chiên,Món phụ,68800,khoai tây,chay,Cay vừa,Không,Tạm hết,Khoai tây chiên tại Steak & Wine Bistro với nguyên liệu khoai tây.
MENU0140,RES024,Chè Huế Ngọt Ngào,Salad cá hồi,Món chính,229802,"cá hồi, rau",gluten-free,Cay,Không,Còn món,"Salad cá hồi tại Chè Huế Ngọt Ngào với nguyên liệu cá hồi, rau."
MENU0141,RES024,Chè Huế Ngọt Ngào,Bowl quinoa,Món chính,178225,"quinoa, rau, trứng","chay, gluten-free",Không cay,Không,Còn món,"Bowl quinoa tại Chè Huế Ngọt Ngào với nguyên liệu quinoa, rau, trứng."
MENU0142,RES024,Chè Huế Ngọt Ngào,Nước ép detox,Đồ uống,73972,"cần tây, táo",chay,Không cay,Không,Còn món,"Nước ép detox tại Chè Huế Ngọt Ngào với nguyên liệu cần tây, táo."
MENU0143,RES024,Chè Huế Ngọt Ngào,Nước suối,Đồ uống,19273,nước,chay,Không cay,Không,Còn món,Nước suối tại Chè Huế Ngọt Ngào với nguyên liệu nước.
MENU0144,RES024,Chè Huế Ngọt Ngào,Khoai tây chiên,Món phụ,70451,khoai tây,"chay, gluten-free",Không cay,Có,Tạm hết,Khoai tây chiên tại Chè Huế Ngọt Ngào với nguyên liệu khoai tây.
MENU0145,RES025,Sea View Grill,Tôm nướng muối ớt,Món chính,217296,"tôm, ớt, muối",,Không cay,Có,Còn món,"Tôm nướng muối ớt tại Sea View Grill với nguyên liệu tôm, ớt, muối."
MENU0146,RES025,Sea View Grill,Mực hấp gừng,Món chính,195609,"mực, gừng",,Ít cay,Có,Còn món,"Mực hấp gừng tại Sea View Grill với nguyên liệu mực, gừng."
MENU0147,RES025,Sea View Grill,Lẩu hải sản,Món chính,425495,"tôm, mực, cá, rau",,Không cay,Có,Còn món,"Lẩu hải sản tại Sea View Grill với nguyên liệu tôm, mực, cá, rau."
MENU0148,RES025,Sea View Grill,Cá nướng giấy bạc,Món chính,241391,"cá, sả, ớt",,Không cay,Có,Còn món,"Cá nướng giấy bạc tại Sea View Grill với nguyên liệu cá, sả, ớt."
MENU0149,RES025,Sea View Grill,Khoai tây chiên,Món phụ,77017,khoai tây,chay,Cay vừa,Không,Còn món,Khoai tây chiên tại Sea View Grill với nguyên liệu khoai tây.
MENU0150,RES025,Sea View Grill,Trà đào cam sả,Đồ uống,54213,"trà, đào, cam",chay,Cay,Có,Còn món,"Trà đào cam sả tại Sea View Grill với nguyên liệu trà, đào, cam."
MENU0151,RES026,Noodle Bar 24h,Phở bò tái,Món chính,90906,"bò, bánh phở, nước dùng",,Không cay,Có,Còn món,"Phở bò tái tại Noodle Bar 24h với nguyên liệu bò, bánh phở, nước dùng."
MENU0152,RES026,Noodle Bar 24h,Bún chả,Món chính,104127,"thịt heo, bún, nước mắm",,Không cay,Có,Còn món,"Bún chả tại Noodle Bar 24h với nguyên liệu thịt heo, bún, nước mắm."
MENU0153,RES026,Noodle Bar 24h,Gỏi cuốn,Khai vị,71277,"tôm, rau, bánh tráng",,Cay vừa,Không,Còn món,"Gỏi cuốn tại Noodle Bar 24h với nguyên liệu tôm, rau, bánh tráng."
MENU0154,RES026,Noodle Bar 24h,Cơm tấm sườn,Món chính,87182,"sườn, cơm, trứng",,Không cay,Không,Tạm hết,"Cơm tấm sườn tại Noodle Bar 24h với nguyên liệu sườn, cơm, trứng."
MENU0155,RES026,Noodle Bar 24h,Mì Quảng gà,Món chính,97264,"gà, mì quảng, đậu phộng",,Không cay,Không,Còn món,"Mì Quảng gà tại Noodle Bar 24h với nguyên liệu gà, mì quảng, đậu phộng."
MENU0156,RES026,Noodle Bar 24h,Bánh flan,Tráng miệng,43009,"trứng, sữa",chay,Cay vừa,Không,Còn món,"Bánh flan tại Noodle Bar 24h với nguyên liệu trứng, sữa."
MENU0157,RES026,Noodle Bar 24h,Nước suối,Đồ uống,20752,nước,chay,Cay vừa,Có,Còn món,Nước suối tại Noodle Bar 24h với nguyên liệu nước.
MENU0158,RES027,Lotus Halal Kitchen,Cơm gà halal,Món chính,141419,"gà, cơm, gia vị",halal,Cay vừa,Không,Còn món,"Cơm gà halal tại Lotus Halal Kitchen với nguyên liệu gà, cơm, gia vị."
MENU0159,RES027,Lotus Halal Kitchen,Cà ri bò halal,Món chính,164492,"bò, cà ri",halal,Không cay,Có,Còn món,"Cà ri bò halal tại Lotus Halal Kitchen với nguyên liệu bò, cà ri."
MENU0160,RES027,Lotus Halal Kitchen,Bánh mì gà halal,Ăn nhanh,64801,"gà, bánh mì",halal,Không cay,Có,Tạm hết,"Bánh mì gà halal tại Lotus Halal Kitchen với nguyên liệu gà, bánh mì."
MENU0161,RES027,Lotus Halal Kitchen,Bánh flan,Tráng miệng,51216,"trứng, sữa","chay, halal, gluten-free",Không cay,Không,Còn món,"Bánh flan tại Lotus Halal Kitchen với nguyên liệu trứng, sữa."
MENU0162,RES027,Lotus Halal Kitchen,Nước suối,Đồ uống,20373,nước,"chay, halal",Không cay,Có,Còn món,Nước suối tại Lotus Halal Kitchen với nguyên liệu nước.
MENU0163,RES028,Green Bowl Salad,Sushi cá hồi,Món chính,200996,"cá hồi, cơm sushi",,Không cay,Không,Còn món,"Sushi cá hồi tại Green Bowl Salad với nguyên liệu cá hồi, cơm sushi."
MENU0164,RES028,Green Bowl Salad,Ramen tonkotsu,Món chính,218267,"mì, nước dùng, thịt heo",gluten-free,Không cay,Có,Còn món,"Ramen tonkotsu tại Green Bowl Salad với nguyên liệu mì, nước dùng, thịt heo."
MENU0165,RES028,Green Bowl Salad,Tempura tôm,Khai vị,178524,"tôm, bột chiên",,Không cay,Không,Còn món,"Tempura tôm tại Green Bowl Salad với nguyên liệu tôm, bột chiên."
MENU0166,RES028,Green Bowl Salad,Trà đào cam sả,Đồ uống,58929,"trà, đào, cam",chay,Không cay,Không,Còn món,"Trà đào cam sả tại Green Bowl Salad với nguyên liệu trà, đào, cam."
MENU0167,RES028,Green Bowl Salad,Bánh flan,Tráng miệng,55933,"trứng, sữa",chay,Không cay,Không,Còn món,"Bánh flan tại Green Bowl Salad với nguyên liệu trứng, sữa."
MENU0168,RES029,Bánh Xèo Miền Trung,Phở bò tái,Món chính,90619,"bò, bánh phở, nước dùng",,Không cay,Không,Còn món,"Phở bò tái tại Bánh Xèo Miền Trung với nguyên liệu bò, bánh phở, nước dùng."
MENU0169,RES029,Bánh Xèo Miền Trung,Bún chả,Món chính,103724,"thịt heo, bún, nước mắm",,Cay,Có,Còn món,"Bún chả tại Bánh Xèo Miền Trung với nguyên liệu thịt heo, bún, nước mắm."
MENU0170,RES029,Bánh Xèo Miền Trung,Gỏi cuốn,Khai vị,59218,"tôm, rau, bánh tráng",,Không cay,Không,Còn món,"Gỏi cuốn tại Bánh Xèo Miền Trung với nguyên liệu tôm, rau, bánh tráng."
MENU0171,RES029,Bánh Xèo Miền Trung,Cơm tấm sườn,Món chính,99230,"sườn, cơm, trứng",,Cay,Không,Còn món,"Cơm tấm sườn tại Bánh Xèo Miền Trung với nguyên liệu sườn, cơm, trứng."
MENU0172,RES029,Bánh Xèo Miền Trung,Mì Quảng gà,Món chính,73743,"gà, mì quảng, đậu phộng",gluten-free,Cay vừa,Không,Còn món,"Mì Quảng gà tại Bánh Xèo Miền Trung với nguyên liệu gà, mì quảng, đậu phộng."
MENU0173,RES029,Bánh Xèo Miền Trung,Trà đào cam sả,Đồ uống,56753,"trà, đào, cam",chay,Cay vừa,Không,Còn món,"Trà đào cam sả tại Bánh Xèo Miền Trung với nguyên liệu trà, đào, cam."
MENU0174,RES029,Bánh Xèo Miền Trung,Khoai tây chiên,Món phụ,84257,khoai tây,chay,Không cay,Có,Còn món,Khoai tây chiên tại Bánh Xèo Miền Trung với nguyên liệu khoai tây.
MENU0175,RES030,Little Korea BBQ,Bibimbap,Món chính,175252,"cơm, rau, trứng",,Không cay,Có,Còn món,"Bibimbap tại Little Korea BBQ với nguyên liệu cơm, rau, trứng."
MENU0176,RES030,Little Korea BBQ,Thịt nướng Hàn Quốc,Món chính,311215,"thịt bò, kimchi",,Cay vừa,Không,Tạm hết,"Thịt nướng Hàn Quốc tại Little Korea BBQ với nguyên liệu thịt bò, kimchi."
MENU0177,RES030,Little Korea BBQ,Canh kimchi,Món chính,138309,"kimchi, đậu hũ",,Không cay,Không,Còn món,"Canh kimchi tại Little Korea BBQ với nguyên liệu kimchi, đậu hũ."
MENU0178,RES030,Little Korea BBQ,Nước suối,Đồ uống,20761,nước,chay,Không cay,Có,Còn món,Nước suối tại Little Korea BBQ với nguyên liệu nước.
MENU0179,RES030,Little Korea BBQ,Bánh flan,Tráng miệng,55546,"trứng, sữa","chay, gluten-free",Không cay,Không,Còn món,"Bánh flan tại Little Korea BBQ với nguyên liệu trứng, sữa."